participant_id	mean_fd	sd_dvars	hnd_accuracy
8	0.10917504211932035	1.6776867513378617	81.25
9	0.09863654482996682	4.457837032177493	68.75
10	0.05854204314150186	5.3796969465830005	43.75
11	0.07640593251537048	2.6410793760653117	93.75
12	0.09890179693573029	5.604237522289294	75.0
13	0.09305467409717286	2.8398513989301617	93.75
14	0.10828689925371685	5.9304750284181385	81.25
15	0.060604541285427166	5.021803931604099	68.75
16	0.08447321017931338	4.226602816066999	93.75
17	0.1255889147263965	14.588543216518339	81.25
18	0.11654885554215764	9.0108093537651	81.25
19	0.09771828020918438	3.763040651835845	87.5
20	0.09139991992292859	5.301023197569405	93.75
21	0.057842590999419144	2.3651770282341777	68.75
22	0.09630234503687177	1.5295821101772065	87.5
23	0.0731318279237063	2.4609491272751427	68.75
24	0.06735437151963113	2.2860497413849963	87.5
25	0.10547326453655377	7.365416416153065	81.25
26	0.0763086220932745	2.2071122263406155	100.0
